Partner,Region,Activity,Institution/company,Community,Interaction description,Date ,Minutes
RTU (LV),Baltic,To create awareness in a broader audience,SESAME.NET,,"At Month 6, an initial contact with SESAME.NET board members has been established. It has been agreed to organise meetings between SESAME.NET and CoE RAISE to identify possible interactions. There were established contacts (M9) with the network partners (Lithuania, Slovenia). Network is not very active now, but through contact with network partners, RAISE services and training events can be promoted.",M18,
RTU (LV),Baltic,To carry out scientific collaborations,EOSC-Nordic,,"RTU is active in the EOSC-Nordic network in analysing situations and possible solutions in cross-border data exchange, as well as in introduction of FAIR principles. RTU Baltic partners in this network are Tartu University (Estonia) and Vilnius University (Lithuania). For the further development of EOSC related activities in Latvia there was created and approved a strategy document “The Latvian National Open Science Strategy 2021-2027”. According to this document Open Science development in Latvia will be based on 3 pillars: Open Access, FAIR data and Citizen Science. According to the strategy “The Higher Education and Science Information Technology Shared Service Centre” will be developed and RTU is one of the members of this organisation. It is planned that this centre will become the representative of Latvia in the EOSC Association. This will enable us to foster inclusion of RAISE services in EOSC’s service catalogue",M18,
RTU (LV),Baltic,To create awareness in a broader audience,EuroCC,,RTU HPC Centre is involved in the EuroCC project and network of 33 National HPC Competence Centers in Europe. There are good contacts with Baltic partners Tartu University (Estonia) and Vilnius University (Lithuania). There is also established collaboration with the EuroCC National Competence Centre Sweden. Arctur (Slovenia) being the member of SESAME.NET is also a partner in NCC Slovenia,M18,
CERN (CH),Italy and Switzerland,To carry out scientific collaborations,WLCG and CERN openlab,,"CERN has been in close contact with WLCG and CERN openlab to discuss the common areas of work and potential collaboration on topics, such as data access, data transfers and data delivery infrastructures, HPC Integration, including aspects of Authorization and Authentication Infrastructures and the exploitations of Heterogenous Computing and Accelerators (e.g. CUDA porting, unified programming models). Another important aspect is the ever-increasing prominent role that AI is playing in HEP and how this will impact the use of HPC in the community",M6,
CERN (CH),Italy and Switzerland,To carry out scientific collaborations,WLCG and CERN openlab,HEP,"Several articles are published to bring awareness of HEP community on the latest developments happening within HPC, specifically CoE RAISE",M6,
CERFACS (FR),France,To carry out scientific collaborations,ISAE-Supaéro,,"ISAE-Supaéro is involved in joint PhDs with CERFACS precisely on the topic of AI-assisted simulation. As such, interactions occur on a regular basis, and will continue throughout the project.",M6,
CERFACS (FR),France,To provide common scientific/technological solutions,SAFRAN,,"In the proposal stage (AISee), SAFRAN was only a stakeholder and is now a partner of RAISE. Through Tasks 3.3 and 3.4 of CoE RAISE, a close collaboration has started with them, which will continue throughout the project.",M6,
CERFACS (FR),France,To create awareness in a broader audience,"IRT, ONERA, AIRBUS, CNES, SAFRAN, TotalEnergies, Météo-France",AI Industry,"An “AI Day” was organized at CERFACS in Q1 2022, with over 60 participants from the French academic and industrial high-performance simulation ecosystem. This included members of IRT, ONERA, AIRBUS, CNES, SAFRAN, TotalEnergies, Météo-France, as well as several public labs",M18,
CERFACS (FR),France,To create awareness in a broader audience,2022 Teratec Forum,,"Other dissemination activities have targeted the French ecosystem, such as an intervention at the 2022 Teratec Forum",M18,
FM (BE),Belgium,To create awareness in a broader audience,Industrial manufacturing companies,,"During Q1 2022, a newsletter was sent around to the FM Industrial Network, consisting of industrial manufacturing companies with more than 150 members. The content of the news article was mainly focussed on the contribution of FM to the RAISE project regarding defect- free metal additive manufacturing. Tangible outputs related to other use-cases relevant to the manufacturing industry are still limited in this phase of the project. As a result of this newsletter, one member of the network requested to be kept informed about further results obtained. Melotte is located in Belgium and focuses on 3D metal printing and high precision manufacturing. Melotte will be contacted during a later phase in the project when tangible results from task 4.3 are available. Other companies in the 3D manufacturing business and member of the FM industrial network, e.g., Materialise, Layerwise, and ESMA, have not responded to the newsletter.",M18,
"FZJ & BSC (DE, ES)",EU,To participate in official committees,PARCFD,HPC,Andreas Lintermann and Guillaume Houzeaux now members of Ibnternaitonal Advisoty Commitee. The ovjective is to push the adoption of AI in the conference.,M18,
"FZJ & BSC (DE, ES)",EU,"Organization of courses, trainings, workshops, hackathons, etc.",PARCFD,"HPC, AI",Organization of a MS on AI during the 2022 conference,M18,
FM (BE),Belgium,To participate in official committees,Vlaams Supercomputer Center (VSC),HPC,"Flanders Make is represented in the User Committee of the Vlaams Supercomputer Center (VSC), its advisory board to consolidate user requirements and improve VSC services (see https://www.vscentrum.be/org).",M6,
BSC (ES),EU,To provide common scientific/technological solutions,POP,HPC,Creation of a miniapp (for Navier-Stokes assembly) to assess the performance in Alya at node-level parallelism (task parallelism). WP7 “Co-design activities” of project POP2 (Performance Optimisation and Productivity). Task 7.3: “Kernel definitions”,M18,
RWTH (DE),Germany,To push the adoption of RAISE tools,FZJ,HPC,To develop strategy for the public domain release of m-AIA ,M18,
BSC (ES),EU,"Organization of courses, trainings, workshops, hackathons, etc.",NVIDIA,"HPC, AI","To contact NVIDIA for the organization of a Hackhaton promoted by RAISE, CHEESE and Compbiomed",M6,
